t_s,hora,rng_m,rng_var,rng_min,rng_max,flow_q,flow_dist_m,px_x,px_y
220.3,09:34:08,0.15,0.0,0.02,12.0,72.0,0.14,0.0,0.0
223.3,09:34:11,0.14,0.0,0.02,12.0,70.0,0.15,0.00426,0.0
226.4,09:34:14,0.14,0.0,0.02,12.0,70.0,0.14,0.0,0.0
229.4,09:34:17,0.14,0.0,0.02,12.0,68.0,0.14,0.00852,0.0
232.5,09:34:21,0.14,0.0,0.02,12.0,74.0,0.14,0.00213,0.0
235.5,09:34:24,0.15,0.0,0.02,12.0,73.0,0.15,0.0,0.0
238.5,09:34:27,0.14,0.0,0.02,12.0,70.0,0.14,0.0,0.0
241.5,09:34:30,0.15,0.0,0.02,12.0,63.0,0.14,0.00213,0.0
244.5,09:34:33,0.14,0.0,0.02,12.0,68.0,0.14,0.00213,0.0
247.4,09:34:35,0.15,0.0,0.02,12.0,71.0,0.15,0.00426,0.00213
250.4,09:34:38,0.14,0.0,0.02,12.0,71.0,0.14,0.0,0.00213
253.5,09:34:42,0.14,0.0,0.02,12.0,68.0,0.14,0.0,0.0
256.4,09:34:44,0.14,0.0,0.02,12.0,72.0,0.14,-0.00213,0.0
259.3,09:34:47,0.14,0.0,0.02,12.0,71.0,0.15,-0.01065,0.0
262.3,09:34:50,0.14,0.0,0.02,12.0,66.0,0.14,0.0,0.0
265.4,09:34:53,0.15,0.0,0.02,12.0,71.0,0.14,0.00426,0.0
268.4,09:34:56,0.14,0.0,0.02,12.0,66.0,0.13,0.0,0.0
271.4,09:34:59,0.13,0.0,0.02,12.0,71.0,0.14,0.00426,0.0
274.6,09:35:03,0.14,0.0,0.02,12.0,73.0,0.14,0.0,0.0
277.6,09:35:06,0.14,0.0,0.02,12.0,64.0,0.15,0.00213,0.0
280.5,09:35:09,0.14,0.0,0.02,12.0,66.0,0.13,0.0,0.0
283.5,09:35:12,0.14,0.0,0.02,12.0,70.0,0.15,0.0,0.0
286.5,09:35:15,0.14,0.0,0.02,12.0,69.0,0.14,0.0,0.0
289.4,09:35:17,0.14,0.0,0.02,12.0,68.0,0.14,0.0,0.0
292.4,09:35:20,0.14,0.0,0.02,12.0,69.0,0.14,-0.00213,0.0
295.4,09:35:23,0.14,0.0,0.02,12.0,68.0,0.14,-0.00213,0.0
298.5,09:35:27,0.14,0.0,0.02,12.0,69.0,0.14,0.0,0.0
301.5,09:35:30,0.13,0.0,0.02,12.0,69.0,0.14,0.0,0.0
304.6,09:35:33,0.14,0.0,0.02,12.0,72.0,0.14,0.0,0.0
307.5,09:35:36,0.14,0.0,0.02,12.0,67.0,0.15,0.0,0.0
310.4,09:35:38,0.14,0.0,0.02,12.0,71.0,0.145,-0.00213,0.0
313.4,09:35:41,0.14,0.0,0.02,12.0,67.0,0.14,0.0,0.0
316.4,09:35:44,0.14,0.0,0.02,12.0,62.0,0.135,0.0,0.0
319.2,09:35:47,0.14,0.0,0.02,12.0,73.0,0.14,-0.00213,0.0
322.3,09:35:50,0.14,0.0,0.02,12.0,71.0,0.15,-0.00213,0.0
325.3,09:35:53,0.14,0.0,0.02,12.0,69.0,0.13,0.0,0.0
328.2,09:35:56,0.13,0.0,0.02,12.0,64.0,0.14,0.0,0.0
331.3,09:35:59,0.14,0.0,0.02,12.0,68.0,0.13,0.00639,0.0
334.5,09:36:03,0.14,0.0,0.02,12.0,72.0,0.14,0.0,0.0
337.4,09:36:05,0.14,0.0,0.02,12.0,72.0,0.14,0.00213,0.0
340.5,09:36:09,0.13,0.0,0.02,12.0,68.0,0.14,0.00213,0.0
343.7,09:36:12,0.13,0.0,0.02,12.0,67.0,0.14,0.00213,0.0
346.5,09:36:15,0.14,0.0,0.02,12.0,72.0,0.15,0.00213,0.0
349.6,09:36:18,0.13,0.0,0.02,12.0,68.0,0.135,0.0,0.0
352.9,09:36:21,0.14,0.0,0.02,12.0,70.0,0.14,0.0,0.0
355.9,09:36:24,0.14,0.0,0.02,12.0,72.0,0.14,0.0,0.0
358.9,09:36:27,0.13,0.0,0.02,12.0,67.0,0.14,0.00213,0.0
361.9,09:36:30,0.14,0.0,0.02,12.0,66.0,0.13,0.0,0.0
364.7,09:36:33,0.14,0.0,0.02,12.0,62.0,0.14,0.0,0.0
367.8,09:36:36,0.13,0.0,0.02,12.0,67.0,0.135,-0.00852,0.0
371.1,09:36:39,0.13,0.0,0.02,12.0,70.0,0.14,0.00213,0.0
374.3,09:36:42,0.13,0.0,0.02,12.0,72.0,0.14,0.00639,0.0
377.2,09:36:45,0.14,0.0,0.02,12.0,68.0,0.135,-0.00426,0.0
380.2,09:36:48,0.14,0.0,0.02,12.0,72.0,0.14,0.0,0.0
383.2,09:36:51,0.13,0.0,0.02,12.0,63.0,0.14,0.00213,0.0
386.2,09:36:54,0.14,0.0,0.02,12.0,72.0,0.14,-0.00639,0.0
389.2,09:36:57,0.13,0.0,0.02,12.0,70.0,0.14,0.0,0.0
392.1,09:37:00,0.14,0.0,0.02,12.0,51.0,0.2,0.00639,0.0213
395.1,09:37:03,0.93,0.0002,0.02,12.0,68.0,0.92,0.00852,0.01065
398.1,09:37:06,0.96,0.0002,0.02,12.0,55.0,0.925,-0.00213,0.0
401.0,09:37:09,0.95,0.0003,0.02,12.0,53.0,0.995,-0.00213,0.0
404.1,09:37:12,1.82,0.0014,0.02,12.0,46.0,2.285,0.0,0.0
407.1,09:37:15,2.02,0.0026,0.02,12.0,46.0,2.175,0.0,0.00213
410.1,09:37:18,2.1,0.0026,0.02,12.0,51.0,2.105,-0.00213,0.00213
413.1,09:37:21,2.11,0.0027,0.02,12.0,78.0,2.11,0.0,-0.00213
416.0,09:37:24,2.28,0.0025,0.02,12.0,57.0,2.305,0.0,0.0
418.9,09:37:27,2.29,0.0023,0.02,12.0,75.0,2.255,-0.01491,0.0
422.0,09:37:30,2.11,0.0026,0.02,12.0,55.0,2.025,0.0,-0.00213
424.9,09:37:33,2.05,0.0027,0.02,12.0,41.0,2.145,0.0,0.0
427.9,09:37:36,2.22,0.0024,0.02,12.0,46.0,2.24,0.0,0.0
431.0,09:37:39,2.37,0.002,0.02,12.0,43.0,2.325,0.00426,-0.00426
434.0,09:37:42,2.19,0.0026,0.02,12.0,45.0,2.185,0.00426,-0.00639
437.0,09:37:45,1.14,0.0008,0.02,12.0,46.0,0.955,-0.00426,0.0
440.1,09:37:48,0.92,0.0002,0.02,12.0,57.0,0.91,0.0,-0.00213
443.0,09:37:51,0.95,0.0003,0.02,12.0,82.0,0.9,0.0,-0.01491
446.0,09:37:54,0.13,0.0,0.02,12.0,68.0,0.14,-0.00213,0.00426
449.1,09:37:57,0.14,0.0,0.02,12.0,71.0,0.13,0.00639,0.0
452.1,09:38:00,0.14,0.0,0.02,12.0,59.0,0.14,-0.00213,0.0
455.1,09:38:03,0.13,0.0,0.02,12.0,60.0,0.13,-0.00213,0.0
458.2,09:38:06,0.13,0.0,0.02,12.0,68.0,0.14,0.0,0.0
461.2,09:38:09,0.14,0.0,0.02,12.0,63.0,0.13,0.0,0.0
464.2,09:38:12,0.13,0.0,0.02,12.0,64.0,0.14,0.00213,0.0
467.2,09:38:15,0.13,0.0,0.02,12.0,65.0,0.13,-0.00426,0.0
470.0,09:38:18,0.14,0.0,0.02,12.0,64.0,0.14,0.00426,0.0
473.0,09:38:21,0.13,0.0,0.02,12.0,59.0,0.13,0.0,0.0
476.0,09:38:24,0.13,0.0,0.02,12.0,63.0,0.13,0.00213,0.0
479.0,09:38:27,0.14,0.0,0.02,12.0,62.0,0.13,0.00213,0.0
482.0,09:38:30,0.13,0.0,0.02,12.0,61.0,0.14,0.0,0.0
485.1,09:38:33,0.13,0.0,0.02,12.0,67.0,0.13,-0.02556,0.0
488.2,09:38:36,0.14,0.0,0.02,12.0,61.0,0.13,0.00639,0.0
491.3,09:38:39,0.14,0.0,0.02,12.0,67.0,0.13,0.0,0.0
494.3,09:38:42,0.13,0.0,0.02,12.0,66.0,0.13,0.00213,0.0
497.6,09:38:46,0.13,0.0,0.02,12.0,69.0,0.14,-0.00639,0.0
500.8,09:38:49,0.13,0.0,0.02,12.0,56.0,0.14,0.00213,0.0
504.0,09:38:52,0.13,0.0,0.02,12.0,60.0,0.13,-0.00426,0.0
506.9,09:38:55,,,,,,,,
509.8,09:38:58,,,,,,,,
512.8,09:39:01,,,,,,,,
515.8,09:39:04,0.15,0.0,0.02,12.0,61.0,0.13,0.0,0.0
518.9,09:39:07,0.14,0.0,0.02,12.0,62.0,0.14,-0.00213,0.0
521.8,09:39:10,0.14,0.0,0.02,12.0,57.0,0.13,0.0,0.00213
524.7,09:39:13,0.14,0.0,0.02,12.0,65.0,0.14,-0.00213,0.0
527.9,09:39:16,0.13,0.0,0.02,12.0,62.0,0.13,-0.00213,0.0
531.2,09:39:19,0.13,0.0,0.02,12.0,68.0,0.13,0.0,0.0
534.2,09:39:22,0.13,0.0,0.02,12.0,59.0,0.14,-0.00426,0.0
537.2,09:39:25,0.13,0.0,0.02,12.0,63.0,0.14,-0.01278,0.0
